STATION,NAME,DATE,AWND,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",6/10/16,7.61,,0,,0,0,69,86,54,,200,230,15,19.9,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",6/11/16,12.08,,0,,0,0,80,91,71,,260,260,23.9,32,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",6/12/16,8.5,,0,,0,0,71,81,56,,330,310,16.1,21.9,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",6/13/16,4.92,,0.03,,0,0,63,72,50,,40,140,12.1,15,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",6/14/16,9.4,,0,,0,0,65,76,60,,130,140,19.9,23,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",6/15/16,6.49,,0.03,,0,0,71,87,62,,140,150,17,19.9,,,1,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",6/16/16,7.61,,0.28,,0,0,69,71,62,,360,10,17,23.9,1,,1,,,,1,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",6/17/16,4.25,,0,,0,0,70,87,53,,100,110,15,21,1,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",6/18/16,2.46,,0,,0,0,74,90,56,,180,180,10.1,15,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",6/19/16,6.71,,0,,0,0,78,91,61,,220,230,17,23,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",6/20/16,14.32,,0,,0,0,80,90,65,,260,260,28,36.9,,,1,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",6/21/16,8.05,,0,,0,0,71,81,53,,290,280,23,32,,,,,,,,
USW00014836,"LANSING CAPITAL CITY AIRPORT, MI US",6/22/16,3.58,,0,,0,0,71,84,54,,280,280,13,17,,,,,,,,
