"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-30","10.51",,"0.41","0.0","0.0","40","41","26","  350","  340","21.9","29.1",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-03-31","13.20",,"0.00","0.0","0.0","28","34","21","  280","  290","23.9","32.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-01","9.84",,"0.00","0.0","0.0","31","45","20","  200","  200","21.9","28.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-02","14.99",,"0.00","0.0","0.0","43","58","36","  240","  240","28.0","34.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-03","13.20",,"0.00","0.0","0.0","43","51","37","  300","  270","29.1","42.9",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-04","9.62",,"0.01","0.0","0.0","40","47","33","  100","   90","18.1","23.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-05","3.80",,"0.08","0.0","0.0","39","52","33","  320","   80","8.9","12.1","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-06","2.91",,"0.00","0.0","0.0","49","66","34","  220","  220","14.1","17.0","    1","    1",,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-07","10.07",,"0.09","0.0","0.0","57","72","47","  170","  170","21.9","27.1","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-08","12.75",,"0.00","0.0","0.0","61","69","54","  260","  270","25.9","34.0","    1",,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-09","14.99",,"0.00","0.0","0.0","54","62","42","  300","  260","29.1","36.0",,,,,,,,
"USW00014836","LANSING CAPITAL CITY AIRPORT, MI US","42.7761","-84.5997","261.8","2019-04-10","10.51",,"0.12","0.5","0.0","41","43","31","  110","  110","19.9","25.1","    1",,,,,,,
